=== unit_ms_family.py : the unit condition by modular symbols ===
sage version      : SageMath version 10.7, Release Date: 2025-08-09
curve             : E : y^2 = x^3 - -39x   [0,0,0,39,0]
conductor         : 48672
CM discriminant   : -4
root number       : 1
modular symbol at 0 : 0   (L(E,1)/Omega up to a unit)
normalisation     : MTT / Stein-Wuthrich, real Neron period (Sage padic_lseries)
series            : n = 2, T-adic precision 3; c_2 certified to the printed O(p^k)
prime range       : split 5 <= p < 1000 of good reduction

# p     a_p     n  v_p(c2)  c2 mod p  prec(c2)  c0        c1        seconds
5       -2      3  1        NA        2         0         0         0.8
17      -8      2  0        13        1         0         0         0.0
29      -4      2  0        1         1         0         0         0.0
37      -12     2  0        9         1         0         0         0.1
41      -10     2  0        19        1         0         0         0.1
53      4       2  0        38        1         0         0         0.1
61      -10     2  0        13        1         0         0         0.1
73      -16     2  0        20        1         0         0         0.2
89      10      2  0        50        1         0         0         0.2
97      -8      2  0        68        1         0         0         0.3
101     -20     2  0        85        1         0         0         0.3
109     -20     2  0        9         1         0         0         0.4
113     16      2  0        26        1         0         0         0.4
137     22      2  0        83        1         0         0         0.6
149     -14     2  0        129       1         0         0         0.7
157     -22     2  0        149       1         0         0         0.7
173     4       2  0        144       1         0         0         0.9
181     18      2  0        141       1         0         0         1.0
193     -24     2  0        71        1         0         0         1.1
197     -2      2  0        61        1         0         0         1.2
229     4       2  0        81        1         0         0         1.6
233     -16     2  0        75        1         0         0         1.6
241     -8      2  0        53        1         0         0         1.8
257     32      2  0        221       1         0         0         2.0
269     -20     2  0        155       1         0         0         2.2
277     -18     2  0        87        1         0         0         2.3
281     -10     2  0        126       1         0         0         2.4
293     34      2  0        101       1         0         0         2.6
313     -26     2  0        133       1         0         0         3.0
317     22      2  0        308       1         0         0         3.0
337     -18     2  0        256       1         0         0         3.4
349     36      2  0        134       1         0         0         3.7
353     -34     2  0        163       1         0         0         3.8
373     -14     2  0        16        1         0         0         4.2
389     -20     2  0        2         1         0         0         4.7
397     -12     2  0        146       1         0         0         4.9
401     2       2  0        217       1         0         0         5.0
409     40      2  0        45        1         0         0         5.2
421     28      2  0        267       1         0         0         5.8
433     -34     2  0        230       1         0         0         5.8
449     -14     2  0        315       1         0         0         6.8
457     8       2  0        275       1         0         0         7.2
461     38      2  0        161       1         0         0         6.7
509     -10     2  0        327       1         0         0         8.2
521     -40     2  0        126       1         0         0         8.8
541     20      2  0        400       1         0         0         9.5
557     -38     2  0        468       1         0         0         9.6
569     -40     2  0        380       1         0         0         10.0
577     48      2  0        308       1         0         0         10.3
593     -46     2  0        404       1         0         0         10.9
601     -10     2  0        470       1         0         0         12.2
613     -36     2  0        135       1         0         0         12.1
617     38      2  0        356       1         0         0         11.7
641     -8      2  0        392       1         0         0         13.3
653     -44     2  0        224       1         0         0         13.3
661     12      2  0        653       1         0         0         13.6
673     -46     2  0        98        1         0         0         14.6
677     -52     2  0        216       1         0         0         14.4
701     52      2  0        279       1         0         0         15.9
709     -44     2  0        483       1         0         0         16.8
733     4       2  0        402       1         0         0         19.0
757     18      2  0        275       1         0         0         18.3
761     38      2  0        745       1         0         0         19.7
769     -24     2  0        408       1         0         0         21.1
773     34      2  0        697       1         0         0         19.6
797     -52     2  0        440       1         0         0         20.4
809     -56     2  0        646       1         0         0         21.0
821     50      2  0        470       1         0         0         21.7
829     54      2  0        746       1         0         0         21.8
853     -36     2  0        99        1         0         0         26.7
857     -8      2  0        701       1         0         0         30.7
877     12      2  0        757       1         0         0         33.1
881     32      2  0        165       1         0         0         30.7
929     46      2  0        424       1         0         0         34.9
937     -38     2  0        769       1         0         0         35.5
941     58      2  0        802       1         0         0         33.4
953     56      2  0        387       1         0         0         49.9
977     -62     2  0        332       1         0         0         53.6
997     62      2  0        777       1         0         0         52.1

split primes below 1000 of good reduction : 79
split primes of bad reduction, omitted  : [13]
primes with c_2 a unit                  : 78
primes with v_p(c_2) > 0                : 1   [(5, '1')]
c_0 = c_1 = 0 at every prime above      : True
total time                              : 867 s
UNITMSDONE
