=== unit_ms_family.py : the unit condition by modular symbols ===
sage version      : SageMath version 10.7, Release Date: 2025-08-09
curve             : E : y^2 = x^3 - -33x   [0,0,0,33,0]
conductor         : 69696
CM discriminant   : -4
root number       : 1
modular symbol at 0 : 0   (L(E,1)/Omega up to a unit)
normalisation     : MTT / Stein-Wuthrich, real Neron period (Sage padic_lseries)
series            : n = 2, T-adic precision 3; c_2 certified to the printed O(p^k)
prime range       : split 5 <= p < 1000 of good reduction

# p     a_p     n  v_p(c2)  c2 mod p  prec(c2)  c0        c1        seconds
5       -4      2  0        4         1         0         0         0.7
13      -4      2  0        11        1         0         0         0.0
17      2       2  0        9         1         0         0         0.0
29      -10     2  0        23        1         0         0         0.0
37      2       3  1        NA        2         0         0         1.7
41      -10     2  0        10        1         0         0         0.1
53      -4      2  0        3         1         0         0         0.1
61      -12     2  0        41        1         0         0         0.1
73      -16     2  0        69        1         0         0         0.2
89      -16     2  0        69        1         0         0         0.2
97      18      2  0        82        1         0         0         0.3
101     -2      2  0        33        1         0         0         0.3
109     -20     2  0        48        1         0         0         0.4
113     16      2  0        17        1         0         0         0.4
137     8       2  0        59        1         0         0         0.6
149     -14     2  0        14        1         0         0         0.7
157     22      2  0        99        1         0         0         0.7
173     -26     2  0        70        1         0         0         0.9
181     -18     2  0        153       1         0         0         1.0
193     24      2  0        156       1         0         0         1.1
197     -2      2  0        16        1         0         0         1.2
229     30      2  0        129       1         0         0         1.6
233     -26     2  0        213       1         0         0         1.7
241     8       2  0        211       1         0         0         1.8
257     -32     2  0        115       1         0         0         2.0
269     -20     2  0        134       1         0         0         2.2
277     -28     2  0        21        1         0         0         2.3
281     -10     2  0        60        1         0         0         2.4
293     34      2  0        16        1         0         0         2.6
313     26      2  0        166       1         0         0         3.0
317     -28     2  0        71        1         0         0         3.1
337     -32     2  0        105       1         0         0         3.5
349     -36     2  0        258       1         0         0         3.7
353     -16     2  0        101       1         0         0         4.0
373     -36     2  0        252       1         0         0         4.4
389     -20     2  0        151       1         0         0         4.7
397     38      2  0        17        1         0         0         5.0
401     -40     2  0        243       1         0         0         5.5
409     40      2  0        122       1         0         0         5.2
421     -30     2  0        221       1         0         0         5.6
433     -34     2  0        245       1         0         0         6.8
449     -40     2  0        271       1         0         0         7.0
457     8       2  0        214       1         0         0         6.7
461     -38     2  0        112       1         0         0         7.0
509     44      2  0        169       1         0         0         8.5
521     -40     2  0        307       1         0         0         8.8
541     -20     2  0        98        1         0         0         9.2
557     -38     2  0        221       1         0         0         9.7
569     26      2  0        21        1         0         0         10.2
577     -2      2  0        204       1         0         0         10.4
593     46      2  0        461       1         0         0         11.8
601     -48     2  0        20        1         0         0         12.0
613     36      2  0        440       1         0         0         11.8
617     -32     2  0        486       1         0         0         12.5
641     -8      2  0        441       1         0         0         12.9
653     -44     2  0        380       1         0         0         13.5
661     -50     2  0        442       1         0         0         14.3
673     -24     2  0        345       1         0         0         14.4
677     -2      2  0        36        1         0         0         14.9
701     10      2  0        74        1         0         0         16.2
709     30      2  0        167       1         0         0         18.3
733     -4      2  0        49        1         0         0         17.7
757     18      2  0        5         1         0         0         18.9
761     -38     2  0        348       1         0         0         20.6
769     24      2  0        766       1         0         0         20.4
773     44      2  0        73        1         0         0         19.4
797     -52     2  0        282       1         0         0         20.5
809     10      2  0        781       1         0         0         21.2
821     -50     2  0        443       1         0         0         21.8
829     -54     2  0        678       1         0         0         22.8
853     36      2  0        728       1         0         0         30.4
857     58      2  0        415       1         0         0         31.0
877     12      2  0        547       1         0         0         33.4
881     32      2  0        500       1         0         0         30.7
929     -40     2  0        387       1         0         0         35.5
937     -48     2  0        495       1         0         0         35.2
941     -58     2  0        437       1         0         0         36.5
953     26      2  0        773       1         0         0         56.3
977     -8      2  0        262       1         0         0         54.9
997     12      2  0        101       1         0         0         42.9

split primes below 1000 of good reduction : 80
primes with c_2 a unit                  : 79
primes with v_p(c_2) > 0                : 1   [(37, '1')]
c_0 = c_1 = 0 at every prime above      : True
total time                              : 882 s
UNITMSDONE
