=== unit_ms_family.py : the unit condition by modular symbols ===
sage version      : SageMath version 10.7, Release Date: 2025-08-09
curve             : E : y^2 = x^3 - 17x   [0,0,0,-17,0]
conductor         : 9248
CM discriminant   : -4
root number       : 1
modular symbol at 0 : 0   (L(E,1)/Omega up to a unit)
normalisation     : MTT / Stein-Wuthrich, real Neron period (Sage padic_lseries)
series            : n = 2, T-adic precision 3; c_2 certified to the printed O(p^k)
prime range       : split 5 <= p < 1000 of good reduction

# p     a_p     n  v_p(c2)  c2 mod p  prec(c2)  c0        c1        seconds
5       -4      2  0        4         1         0         0         0.8
13      -6      2  0        7         1         0         0         0.0
29      -4      2  0        21        1         0         0         0.0
37      -12     2  0        28        1         0         0         0.0
41      -8      2  0        25        1         0         0         0.1
53      -14     2  0        13        1         0         0         0.1
61      -12     2  0        34        1         0         0         0.1
73      -16     2  0        27        1         0         0         0.2
89      -10     2  0        40        1         0         0         0.2
97      8       2  0        77        1         0         0         0.3
101     2       2  0        78        1         0         0         0.3
109     -20     2  0        1         1         0         0         0.3
113     -16     2  0        12        1         0         0         0.4
137     22      2  0        97        1         0         0         0.6
149     14      2  0        17        1         0         0         0.7
157     22      2  0        130       1         0         0         0.7
173     -4      2  0        162       1         0         0         0.9
181     20      2  0        94        1         0         0         1.0
193     24      2  0        188       1         0         0         1.1
197     -28     2  0        108       1         0         0         1.2
229     30      2  0        210       1         0         0         1.6
233     -16     2  0        124       1         0         0         1.6
241     8       2  0        149       1         0         0         1.7
257     2       2  0        72        1         0         0         2.0
269     -20     2  0        174       1         0         0         2.2
277     28      2  0        248       1         0         0         2.3
281     -10     2  0        153       1         0         0         2.4
293     -34     2  0        89        1         0         0         2.6
313     24      2  0        293       1         0         0         2.9
317     -28     2  0        208       1         0         0         3.0
337     -32     2  0        108       1         0         0         3.4
349     10      2  0        119       1         0         0         3.6
353     34      2  0        301       1         0         0         3.7
373     -14     2  0        67        1         0         0         4.2
389     -34     2  0        322       1         0         0         4.6
397     -12     2  0        236       1         0         0         4.9
401     -40     2  0        262       1         0         0         4.9
409     -6      2  0        199       1         0         0         5.1
421     -30     2  0        239       1         0         0         5.8
433     34      2  0        351       1         0         0         5.6
449     40      2  0        372       1         0         0         6.2
457     42      2  0        367       1         0         0         7.2
461     -38     2  0        183       1         0         0         7.0
509     -10     2  0        127       1         0         0         8.1
521     -40     2  0        182       1         0         0         8.7
541     20      2  0        309       1         0         0         9.5
557     -38     2  0        97        1         0         0         9.5
569     -26     2  0        450       1         0         0         9.9
577     -2      2  0        510       1         0         0         10.2
593     46      2  0        416       1         0         0         10.8
601     -48     2  0        61        1         0         0         11.2
613     -34     2  0        333       1         0         0         12.7
617     -32     2  0        490       1         0         0         11.7
641     -8      2  0        270       1         0         0         13.0
653     44      2  0        366       1         0         0         13.3
661     50      2  0        651       1         0         0         13.4
673     -24     2  0        171       1         0         0         14.4
677     52      2  0        237       1         0         0         14.2
701     10      2  0        277       1         0         0         15.6
709     44      2  0        400       1         0         0         16.0
733     -54     2  0        651       1         0         0         19.1
757     -18     2  0        128       1         0         0         18.2
761     38      2  0        290       1         0         0         18.6
769     -50     2  0        6         1         0         0         20.7
773     -34     2  0        19        1         0         0         20.1
797     -22     2  0        540       1         0         0         20.1
809     -56     2  0        423       1         0         0         20.6
821     -28     2  0        296       1         0         0         21.4
829     54      2  0        47        1         0         0         21.7
853     -36     2  0        10        1         0         0         23.9
857     8       2  0        236       1         0         0         30.0
877     12      2  0        553       1         0         0         31.0
881     32      2  0        759       1         0         0         32.4
929     40      2  0        878       1         0         0         33.4
937     38      2  0        1         1         0         0         34.7
941     20      2  0        573       1         0         0         34.0
953     -26     2  0        616       1         0         0         36.2
977     62      2  0        976       1         0         0         57.5
997     -12     2  0        323       1         0         0         54.8

split primes below 1000 of good reduction : 79
split primes of bad reduction, omitted  : [17]
primes with c_2 a unit                  : 79
primes with v_p(c_2) > 0                : 0   []
c_0 = c_1 = 0 at every prime above      : True
total time                              : 848 s
UNITMSDONE
